岸,968
按,969
暗,970
案,971
肮,972
昂,973
熬,974
袄,975
傲,976
懊,977
拗,978
澳,979
吧,980
叭,981
扒,982
捌,983
疤,984
笆,985
芭,986
拔,987
跋,988
把,989
靶,990
坝,991
爸,992
霸,993
掰,994
摆,995
败,996
扳,997
搬,998
斑,999
班,1000
颁,1001
板,1002
版,1003
伴,1004
扮,1005
拌,1006
瓣,1007
绊,1008
帮,1009
梆,1010
榜,1011
绑,1012
膀,1013
傍,1014
棒,1015
磅,1016
蚌,1017
谤,1018
胞,1019
苞,1020
褒,1021
雹,1022
堡,1023
宝,1024
饱,1025
刨,1026
报,1027
抱,1028
爆,1029
豹,1030
悲,1031
杯,1032
碑,1033
倍,1034
惫,1035
焙,1036
狈,1037
背,1038
被,1039
辈,1040
奔,1041
笨,1042
绷,1043
泵,1044
蹦,1045
逼,1046
荸,1047
鼻,1048
彼,1049
秕,1050
笔,1051
鄙,1052
壁,1053
庇,1054
弊,1055
毕,1056
毙,1057
璧,1058
痹,1059
碧,1060
臂,1061
蓖,1062
蔽,1063
避,1064
闭,1065
编,1066
蝙,1067
边,1068
鞭,1069
匾,1070
贬,1071
变,1072
辨,1073
辩,1074
辫,1075
遍,1076
彪,1077
标,1078
膘,1079
表,1080
憋,1081
瘪,1082
鳖,1083
彬,1084
滨,1085
濒,1086
缤,1087
鬓,1088
冰,1089
柄,1090
秉,1091
饼,1092
病,1093
剥,1094
拨,1095
播,1096
玻,1097
菠,1098
伯,1099
博,1100
搏,1101
柏,1102
泊,1103
渤,1104
脖,1105
膊,1106
舶,1107
薄,1108
驳,1109
跛,1110
簸,1111
哺,1112
捕,1113
补,1114
埠,1115
怖,1116
簿,1117
部,1118
擦,1119
猜,1120
材,1121
裁,1122
财,1123
彩,1124
睬,1125
踩,1126
菜,1127
餐,1128
惭,1129
残,1130
蚕,1131
惨,1132
灿,1133
沧,1134
舱,1135
苍,1136
藏,1137
操,1138
糙,1139
槽,1140
草,1141
侧,1142
厕,1143
测,1144
策,1145
层,1146
蹭,1147
插,1148
杈,1149
碴,1150
茬,1151
茶,1152
